epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4268,0.89039,3.50211,1.3829,0.65744,0.20206,0.21237,0.10751,1.31916,5.71089,1.82868,0.000331667,0.000331667,0.000331667
2,55.1195,1.06328,3.07369,1.51595,0.68559,0.19752,0.21467,0.10407,1.53728,4.33045,2.10632,0.000658417,0.000658417,0.000658417
3,81.5047,1.24115,2.69194,1.63552,0.65781,0.19405,0.18943,0.10703,1.42055,3.26732,1.95291,0.000978566,0.000978566,0.000978566
4,107.975,1.28983,2.49702,1.69043,0.54479,0.18566,0.14234,0.07448,1.49563,2.86346,2.05204,0.0009703,0.0009703,0.0009703
5,134.59,1.24079,2.26044,1.62317,0.76689,0.11478,0.1502,0.07671,1.6458,3.69995,2.22559,0.0009604,0.0009604,0.0009604
6,161.15,1.2151,2.10632,1.62047,0.70119,0.275,0.22666,0.14377,1.36019,2.24352,1.86758,0.0009505,0.0009505,0.0009505
7,187.304,1.19232,2.06512,1.59674,0.64066,0.25147,0.22674,0.12893,1.56953,2.50981,2.16474,0.0009406,0.0009406,0.0009406
8,213.49,1.16127,2.02929,1.5708,0.78299,0.30971,0.33855,0.19253,1.33152,2.0263,1.84687,0.0009307,0.0009307,0.0009307
9,239.639,1.17185,1.93949,1.57334,0.79573,0.29069,0.40669,0.23762,1.30254,1.75978,1.83071,0.0009208,0.0009208,0.0009208
10,265.879,1.0827,1.79593,1.515,0.72874,0.33959,0.34076,0.20829,1.41072,1.92675,1.93494,0.0009109,0.0009109,0.0009109
11,291.999,1.07359,1.76904,1.51736,0.74692,0.37132,0.41966,0.27741,1.34255,1.83795,1.8703,0.000901,0.000901,0.000901
12,318.324,1.07532,1.76124,1.49863,0.73903,0.37763,0.57578,0.33381,1.29247,1.9405,1.82853,0.0008911,0.0008911,0.0008911
13,344.455,1.04469,1.67657,1.4808,0.794,0.32686,0.41956,0.23606,1.21511,1.70654,1.72592,0.0008812,0.0008812,0.0008812
14,370.392,1.01815,1.66071,1.45896,0.8026,0.39364,0.47629,0.3061,1.19422,1.58063,1.66813,0.0008713,0.0008713,0.0008713
15,396.44,1.04321,1.62842,1.48367,0.8144,0.3304,0.37843,0.24265,1.23044,1.61086,1.68325,0.0008614,0.0008614,0.0008614
16,422.6,1.02882,1.65712,1.45894,0.546,0.58831,0.50669,0.35435,1.14194,1.53678,1.6616,0.0008515,0.0008515,0.0008515
17,448.786,0.97676,1.58326,1.4264,0.84613,0.40028,0.52902,0.33145,1.18509,1.68139,1.70877,0.0008416,0.0008416,0.0008416
18,474.981,0.96073,1.53292,1.4289,0.54777,0.53776,0.57181,0.36398,1.17803,1.48954,1.68293,0.0008317,0.0008317,0.0008317
19,501.173,0.96468,1.5439,1.42196,0.64442,0.56603,0.59245,0.36716,1.14742,1.56045,1.68891,0.0008218,0.0008218,0.0008218
20,527.362,0.95622,1.46755,1.41446,0.68068,0.52686,0.54195,0.36926,1.10061,1.45881,1.59889,0.0008119,0.0008119,0.0008119
21,553.507,0.9217,1.44301,1.39987,0.9072,0.3971,0.45614,0.31383,1.06702,1.46999,1.56429,0.000802,0.000802,0.000802
22,579.73,0.93878,1.44654,1.40442,0.57915,0.5524,0.4728,0.32254,1.05764,1.4169,1.56117,0.0007921,0.0007921,0.0007921
23,605.648,0.92257,1.43192,1.40624,0.73932,0.5793,0.57641,0.31574,1.11046,1.37678,1.58328,0.0007822,0.0007822,0.0007822
24,631.865,0.90857,1.3918,1.36624,0.60477,0.52195,0.51232,0.31735,1.14963,1.43478,1.65511,0.0007723,0.0007723,0.0007723
25,658.344,0.89789,1.36864,1.38097,0.67281,0.50505,0.4761,0.32886,1.0815,1.704,1.57423,0.0007624,0.0007624,0.0007624
26,684.383,0.87075,1.3125,1.35407,0.71214,0.51212,0.51523,0.36773,1.00181,1.34011,1.5102,0.0007525,0.0007525,0.0007525
27,710.65,0.87708,1.335,1.35073,0.60815,0.4821,0.46611,0.31301,1.0977,1.56675,1.59815,0.0007426,0.0007426,0.0007426
28,736.809,0.87119,1.29292,1.35238,0.92291,0.39392,0.53558,0.3636,1.05872,1.40448,1.548,0.0007327,0.0007327,0.0007327
