epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6439,0.76317,11.9367,0.0146,0.70788,0.2875,0.38364,0.29421,0.81574,21.7861,0.02446,0.000331667,0.000331667,0.000331667
2,76.7679,0.91524,8.4449,0.0189,0.71796,0.23624,0.41785,0.23906,1.19164,12.258,0.03838,0.000658417,0.000658417,0.000658417
3,110.335,1.10486,4.99466,0.02276,0.76044,0.21266,0.41296,0.24536,1.20665,6.55797,0.03787,0.000978566,0.000978566,0.000978566
4,143.455,1.1693,3.39921,0.02442,0.67647,0.2435,0.25859,0.16891,1.21416,3.85242,0.03853,0.0009703,0.0009703,0.0009703
5,176.608,1.17925,2.60487,0.02464,0.73356,0.26335,0.30685,0.1835,1.3457,2.96768,0.04488,0.0009604,0.0009604,0.0009604
6,209.818,1.17468,2.32902,0.02462,0.67216,0.26074,0.30675,0.17666,1.25216,2.81292,0.03922,0.0009505,0.0009505,0.0009505
7,242.805,1.15011,2.09251,0.02384,0.70363,0.38255,0.49885,0.29132,1.20028,2.10979,0.03691,0.0009406,0.0009406,0.0009406
8,275.996,1.17718,2.01299,0.0246,0.55068,0.32794,0.35956,0.2476,1.18673,1.96914,0.03662,0.0009307,0.0009307,0.0009307
9,309.062,1.16449,1.96898,0.02421,0.62189,0.60749,0.46553,0.32718,1.12359,1.7397,0.03391,0.0009208,0.0009208,0.0009208
10,342.315,1.10351,1.714,0.02274,0.68726,0.38178,0.50263,0.3195,1.20077,1.7949,0.03844,0.0009109,0.0009109,0.0009109
11,375.327,1.09176,1.69009,0.02308,0.72246,0.54548,0.55847,0.33193,1.16036,1.45231,0.03747,0.000901,0.000901,0.000901
12,408.666,1.08238,1.64617,0.02195,0.55032,0.54043,0.4569,0.29694,1.18055,1.71261,0.03697,0.0008911,0.0008911,0.0008911
13,441.676,1.08032,1.58368,0.02205,0.94414,0.52953,0.65762,0.39832,1.16365,1.36964,0.03578,0.0008812,0.0008812,0.0008812
